date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,0.15714285714285703,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Indiana,Seasonally Adjusted,Map
2025-03-01,Monthly,0.08000000000000007,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,California,Seasonally Adjusted,Map
2025-03-01,Monthly,0.0652173913043479,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Massachusetts,Seasonally Adjusted,Map
2025-03-01,Monthly,0.060606060606060774,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Vermont,Seasonally Adjusted,Map
2025-03-01,Monthly,0.05084745762711851,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Illinois,Seasonally Adjusted,Map
2025-03-01,Monthly,0.02941176470588225,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Kansas,Seasonally Adjusted,Map
2025-03-01,Monthly,0.026666666666666616,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,South Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,0.017241379310344973,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Connecticut,Seasonally Adjusted,Map
2025-03-01,Monthly,0.016949152542372836,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Minnesota,Seasonally Adjusted,Map
2025-03-01,Monthly,0.016666666666666607,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Michigan,Seasonally Adjusted,Map
2025-03-01,Monthly,0.013333333333333197,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,North Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,0.012820512820512775,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Tennessee,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Ohio,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Rhode Island,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.015151515151515249,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Iowa,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.03076923076923066,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Missouri,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.03278688524590179,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Hawaii,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.04000000000000015,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,New Jersey,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.0434782608695653,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Arizona,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.045454545454545414,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Idaho,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.05405405405405406,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Maine,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.05555555555555547,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,District of Columbia,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.06060606060606044,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,North Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.061728395061728336,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Louisiana,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.06944444444444453,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Oregon,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09000000000000008,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Montana,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09090909090909072,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Nevada,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09195402298850586,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,West Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.0921052631578948,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Oklahoma,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09523809523809534,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Florida,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09589041095890416,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Alabama,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.10294117647058809,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Wisconsin,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.10606060606060608,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Nebraska,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.1097560975609756,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,South Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.11538461538461531,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Arkansas,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.11538461538461542,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,New York,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.11940298507462688,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,New Hampshire,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.12280701754385948,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Pennsylvania,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.12499999999999989,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Wyoming,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.12676056338028163,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,New Mexico,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.13157894736842113,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Texas,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.13414634146341453,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Utah,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.136986301369863,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Georgia,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.14925373134328357,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Maryland,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.15068493150684914,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.1625000000000001,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Mississippi,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.17543859649122817,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Washington,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.1923076923076923,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Colorado,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.19480519480519476,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Kentucky,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.2530120481927711,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Delaware,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.2583333333333333,Quits,Rate,Year-over-year,Total nonfarm,All size classes,State,Alaska,Seasonally Adjusted,Map
